tweet_id,handle,retweet_count,text,mined_at,created_at
956806447026884608,OnePlus India,68,Extend the long weekend cheer and hop down to the OnePlus Experience Store in Bangalore to avail 3 months No Cost E… https://t.co/7sGm1BCbNh,2018-02-16 22:23:18.270897,Fri Jan 26 08:30:08 +0000 2018
956791351617744897,OnePlus India,68,Kasakai Mumbai! We're down at the Prime Mall in Vile Parle West. Come say hi and experience the OnePlus 5T 👋 https://t.co/msb0BxBPSi,2018-02-16 22:23:18.270899,Fri Jan 26 07:30:09 +0000 2018
956772704538976256,OnePlus India,70,Happy #RepublicDay India | #ShotonOnePlus by @manhas_yogesh https://t.co/mqbw3SKaIq,2018-02-16 22:23:18.270900,Fri Jan 26 06:16:03 +0000 2018
956232702889484289,OnePlus India,3220,"That Red tho 😘

We're celebrating Republic Day this year by giving away the OnePlus 5T Lava Red to our fans! Here's… https://t.co/wnUq6ajXs9",2018-02-16 22:23:18.270905,Wed Jan 24 18:30:16 +0000 2018
956134525930692608,OnePlus India,96,When should you adjust ISO on #OnePlus5T Pro Mode? We break it down in this 30 second tutorial.… https://t.co/0vKLfFgPjB,2018-02-16 22:23:18.270906,Wed Jan 24 12:00:09 +0000 2018
955718564563963906,OnePlus India,89,We've always strived to be near our fans in any and every way possible. That's why we partnered with @cromaretail s… https://t.co/gv7XQ4MYgb,2018-02-16 22:23:18.270908,Tue Jan 23 08:27:16 +0000 2018
955437698356994049,OnePlus India,70,"Bumper to Bumper strength! Which of our bumper cases for the #OnePlus5T is your favorite? 

Whichever it is, get it… https://t.co/nBeX5fzlS4",2018-02-16 22:23:18.270909,Mon Jan 22 13:51:13 +0000 2018
954783136839294977,OnePlus India,118,For the flamboyant ones. This is the #OnePlus5TLavaRed 🌋  Get it here 👉 https://t.co/6fFnE5RCZI https://t.co/MI6zt1v9zy,2018-02-16 22:23:18.270910,Sat Jan 20 18:30:13 +0000 2018
954783135375470592,OnePlus India,68,In a Lava Red state of mind 💋   Get the new #OnePlus5TLavaRed here 👉 https://t.co/6fFnE5RCZI https://t.co/jmXogbHUwe,2018-02-16 22:23:18.270912,Sat Jan 20 18:30:13 +0000 2018
954783131676135425,OnePlus India,79,Spoil yourself with Lava Red  🤤   Get the new #OnePlus5TLavaRed here 👉 https://t.co/6fFnE5RCZI https://t.co/hGkoyU1mpo,2018-02-16 22:23:18.270913,Sat Jan 20 18:30:12 +0000 2018
954783129956384768,OnePlus India,43,Flaunt it like it's Lava Red 😎   Get the new #OnePlus5TLavaRed here 👉 https://t.co/6fFnE5RCZI https://t.co/tmzsBTbF17,2018-02-16 22:23:18.270914,Sat Jan 20 18:30:11 +0000 2018
954783128446554118,OnePlus India,49,Light it up with Lava Red 🔥   Get the new #OnePlus5TLavaRed here 👉 https://t.co/6fFnE5RCZI https://t.co/NLR4BvfTa8,2018-02-16 22:23:18.270915,Sat Jan 20 18:30:11 +0000 2018
954669870125236225,OnePlus India,19,#OnePlusCampusTour took us to @IIMC_India this time. We are stoked to host #ShotonOnePlusAcademy in the beautiful c… https://t.co/TtyzPv9v1K,2018-02-16 22:23:18.270917,Sat Jan 20 11:00:08 +0000 2018
954614172502835202,OnePlus India,62,"OnePlus 5T Lava Red is now available! 

Get it on oneplusstore.in with 0 Cost EMI from @Bajaj_Finserv or from… https://t.co/ewTC47Jtue",2018-02-16 22:23:18.270918,Sat Jan 20 07:18:49 +0000 2018
954346853637632001,OnePlus India,85,To celebrate the launch of the OnePlus 5T Lava Red we teamed up with @Zomato &amp; are giving free a Coca-Cola to every… https://t.co/RqrqOJG2ws,2018-02-16 22:23:18.270919,Fri Jan 19 13:36:35 +0000 2018
954281503122321408,OnePlus India,37,"We're here to seize the moment at @CarpeDiemIIMC. Fresh talent, good food, great music and a whole lotta… https://t.co/qJjvZatnuN",2018-02-16 22:23:18.270921,Fri Jan 19 09:16:54 +0000 2018
954043856932106240,OnePlus India,44,"Just 1 more day to go! Set your alarms for the OnePlus 5T Lava Red ⏰  
Sign up to get notified  👉… https://t.co/9fMk3wcxvM",2018-02-16 22:23:18.270925,Thu Jan 18 17:32:35 +0000 2018
953974040665800705,OnePlus India,84,"He came, he saw, he conquered! OnePlus presents @UnboxTherapy in India! https://t.co/x7fYFLooMc",2018-02-16 22:23:18.270926,Thu Jan 18 12:55:09 +0000 2018
953956212525088768,OnePlus India,69,The OnePlus 5T Lava Red hits Bangalore this Saturday! Hop down to the Brigade Rd. Experience Store and get offers l… https://t.co/ALf1KTw4aV,2018-02-16 22:23:18.270928,Thu Jan 18 11:44:19 +0000 2018
953610389983436800,OnePlus India,85,We're pleased to announce the launch of our first ever Authorized Store in Mumbai this Saturday. Come down to the P… https://t.co/q23MsHfrYE,2018-02-16 22:23:18.270929,Wed Jan 17 12:50:08 +0000 2018
953490504859107328,OnePlus India,48,"A fresh brew of T coming your way in 2 days ☕
Sign up to get notified  👉   https://t.co/rhyMfTI0ej https://t.co/Nb6GZcEA9U",2018-02-16 22:23:18.270933,Wed Jan 17 04:53:46 +0000 2018
953209941036187648,OnePlus India,58,"Boom goes the dynamite in 3 days!
Sign up to get notified  👉 https://t.co/rhyMfTI0ej https://t.co/1IWvNheVc0",2018-02-16 22:23:18.270935,Tue Jan 16 10:18:54 +0000 2018
952900460163117056,OnePlus India,60,You tell 'em @businessline 😎 https://t.co/6h6Elq3XfE,2018-02-16 22:23:18.270936,Mon Jan 15 13:49:08 +0000 2018
952828056258793472,OnePlus India,38,"RT @Vikas_AGL: Sharing the best technology with the world and building a healthy company that endures! 

Our first billion dollar year is a…",2018-02-16 22:23:18.270937,Mon Jan 15 09:01:25 +0000 2018
952767805438410754,OnePlus India,39,RT @petelau2007: Had a nice meeting with Qualcomm's @cristianoamon at CES! Thanks for your support. Enjoy the #OnePlus5TStarWars. (Who is t…,2018-02-16 22:23:18.270938,Mon Jan 15 05:02:01 +0000 2018
952437312884846594,OnePlus India,48,"Between Lava Red and going down to Chennai, things got really hot on this week's update 🔥 https://t.co/iA0AKZV8Ih https://t.co/fhDW7BrQey",2018-02-16 22:23:18.270940,Sun Jan 14 07:08:45 +0000 2018
952167971283243008,OnePlus India,53,"Light it up with Lava Red 🔥

Head to https://t.co/jL4AAFxJ4M to know more 🚨 https://t.co/m87uudZ9c3",2018-02-16 22:23:18.270941,Sat Jan 13 13:18:29 +0000 2018
951721204208955392,OnePlus India,49,We're at @iitmadras today to kick off 2018 with #OnePlusCampusTour. We're here till 14th Jan with some exciting off… https://t.co/mfYJ4o9no9,2018-02-16 22:23:18.270942,Fri Jan 12 07:43:11 +0000 2018
951705021267062784,OnePlus India,149,For the flamboyant ones. This is the OnePlus 5T Lava Red 🌋 https://t.co/FprDTZvyiz,2018-02-16 22:23:18.270944,Fri Jan 12 06:38:53 +0000 2018
951326727938097152,OnePlus India,249,"Presenting the Powerfully Radiant OnePlus 5T Lava Red 
Learn more 👉 https://t.co/RsH6cbwCeK https://t.co/nLcf6JYqCW",2018-02-16 22:23:18.270947,Thu Jan 11 05:35:41 +0000 2018
950970700549914626,OnePlus India,235,Just 1 day to go for the announcement! Can you guess what we're up to 🤔 https://t.co/FtNbEG8r1e,2018-02-16 22:23:18.270949,Wed Jan 10 06:00:57 +0000 2018
